xintercept	key	showSelected1	showSelected2	PANEL
32.5	32	39	32	1
33.5	33	39	33	1
34.5	34	39	34	1
35.5	35	39	35	1
36.5	36	39	36	1
37.5	37	39	37	1
38.5	38	39	38	1
0.5	0	40	0	1
1.5	1	40	1	1
2.5	2	40	2	1
3.5	3	40	3	1
4.5	4	40	4	1
5.5	5	40	5	1
6.5	6	40	6	1
7.5	7	40	7	1
8.5	8	40	8	1
9.5	9	40	9	1
10.5	10	40	10	1
11.5	11	40	11	1
12.5	12	40	12	1
13.5	13	40	13	1
14.5	14	40	14	1
15.5	15	40	15	1
16.5	16	40	16	1
17.5	17	40	17	1
18.5	18	40	18	1
19.5	19	40	19	1
20.5	20	40	20	1
21.5	21	40	21	1
22.5	22	40	22	1
23.5	23	40	23	1
24.5	24	40	24	1
25.5	25	40	25	1
26.5	26	40	26	1
27.5	27	40	27	1
28.5	28	40	28	1
29.5	29	40	29	1
30.5	30	40	30	1
31.5	31	40	31	1
32.5	32	40	32	1
33.5	33	40	33	1
34.5	34	40	34	1
35.5	35	40	35	1
36.5	36	40	36	1
37.5	37	40	37	1
38.5	38	40	38	1
39.5	39	40	39	1
0.5	0	41	0	1
1.5	1	41	1	1
2.5	2	41	2	1
3.5	3	41	3	1
4.5	4	41	4	1
5.5	5	41	5	1
6.5	6	41	6	1
7.5	7	41	7	1
8.5	8	41	8	1
9.5	9	41	9	1
10.5	10	41	10	1
11.5	11	41	11	1
12.5	12	41	12	1
13.5	13	41	13	1
14.5	14	41	14	1
15.5	15	41	15	1
16.5	16	41	16	1
17.5	17	41	17	1
18.5	18	41	18	1
19.5	19	41	19	1
20.5	20	41	20	1
21.5	21	41	21	1
22.5	22	41	22	1
23.5	23	41	23	1
24.5	24	41	24	1
25.5	25	41	25	1
26.5	26	41	26	1
27.5	27	41	27	1
28.5	28	41	28	1
29.5	29	41	29	1
30.5	30	41	30	1
31.5	31	41	31	1
32.5	32	41	32	1
33.5	33	41	33	1
34.5	34	41	34	1
35.5	35	41	35	1
36.5	36	41	36	1
37.5	37	41	37	1
38.5	38	41	38	1
39.5	39	41	39	1
40.5	40	41	40	1
0.5	0	42	0	1
1.5	1	42	1	1
2.5	2	42	2	1
3.5	3	42	3	1
4.5	4	42	4	1
5.5	5	42	5	1
6.5	6	42	6	1
7.5	7	42	7	1
8.5	8	42	8	1
9.5	9	42	9	1
10.5	10	42	10	1
11.5	11	42	11	1
12.5	12	42	12	1
13.5	13	42	13	1
14.5	14	42	14	1
15.5	15	42	15	1
16.5	16	42	16	1
17.5	17	42	17	1
18.5	18	42	18	1
19.5	19	42	19	1
20.5	20	42	20	1
21.5	21	42	21	1
22.5	22	42	22	1
23.5	23	42	23	1
24.5	24	42	24	1
25.5	25	42	25	1
26.5	26	42	26	1
27.5	27	42	27	1
28.5	28	42	28	1
29.5	29	42	29	1
30.5	30	42	30	1
31.5	31	42	31	1
32.5	32	42	32	1
33.5	33	42	33	1
34.5	34	42	34	1
35.5	35	42	35	1
36.5	36	42	36	1
37.5	37	42	37	1
38.5	38	42	38	1
39.5	39	42	39	1
40.5	40	42	40	1
41.5	41	42	41	1
0.5	0	43	0	1
1.5	1	43	1	1
2.5	2	43	2	1
3.5	3	43	3	1
4.5	4	43	4	1
5.5	5	43	5	1
6.5	6	43	6	1
7.5	7	43	7	1
8.5	8	43	8	1
9.5	9	43	9	1
10.5	10	43	10	1
11.5	11	43	11	1
12.5	12	43	12	1
13.5	13	43	13	1
14.5	14	43	14	1
15.5	15	43	15	1
16.5	16	43	16	1
17.5	17	43	17	1
18.5	18	43	18	1
19.5	19	43	19	1
20.5	20	43	20	1
21.5	21	43	21	1
22.5	22	43	22	1
23.5	23	43	23	1
