x	y	key	label	showSelected1	showSelected2	PANEL	group	anchor
15.5	1	15	tau=15	17	15	1	-1	start
16.5	1	16	tau=16	17	16	1	-1	start
0.5	1	0	tau=0	18	0	1	-1	start
1.5	1	1	tau=1	18	1	1	-1	start
2.5	1	2	tau=2	18	2	1	-1	start
3.5	1	3	tau=3	18	3	1	-1	start
4.5	1	4	tau=4	18	4	1	-1	start
5.5	1	5	tau=5	18	5	1	-1	start
6.5	1	6	tau=6	18	6	1	-1	start
7.5	1	7	tau=7	18	7	1	-1	start
8.5	1	8	tau=8	18	8	1	-1	start
9.5	1	9	tau=9	18	9	1	-1	start
10.5	1	10	tau=10	18	10	1	-1	start
11.5	1	11	tau=11	18	11	1	-1	start
12.5	1	12	tau=12	18	12	1	-1	start
13.5	1	13	tau=13	18	13	1	-1	start
14.5	1	14	tau=14	18	14	1	-1	start
15.5	1	15	tau=15	18	15	1	-1	start
16.5	1	16	tau=16	18	16	1	-1	start
17.5	1	17	tau=17	18	17	1	-1	start
0.5	1	0	tau=0	19	0	1	-1	start
1.5	1	1	tau=1	19	1	1	-1	start
2.5	1	2	tau=2	19	2	1	-1	start
3.5	1	3	tau=3	19	3	1	-1	start
4.5	1	4	tau=4	19	4	1	-1	start
5.5	1	5	tau=5	19	5	1	-1	start
6.5	1	6	tau=6	19	6	1	-1	start
7.5	1	7	tau=7	19	7	1	-1	start
8.5	1	8	tau=8	19	8	1	-1	start
9.5	1	9	tau=9	19	9	1	-1	start
10.5	1	10	tau=10	19	10	1	-1	start
11.5	1	11	tau=11	19	11	1	-1	start
12.5	1	12	tau=12	19	12	1	-1	start
13.5	1	13	tau=13	19	13	1	-1	start
14.5	1	14	tau=14	19	14	1	-1	start
15.5	1	15	tau=15	19	15	1	-1	start
16.5	1	16	tau=16	19	16	1	-1	start
17.5	1	17	tau=17	19	17	1	-1	start
18.5	1	18	tau=18	19	18	1	-1	start
0.5	1	0	tau=0	20	0	1	-1	start
1.5	1	1	tau=1	20	1	1	-1	start
2.5	1	2	tau=2	20	2	1	-1	start
3.5	1	3	tau=3	20	3	1	-1	start
4.5	1	4	tau=4	20	4	1	-1	start
5.5	1	5	tau=5	20	5	1	-1	start
6.5	1	6	tau=6	20	6	1	-1	start
7.5	1	7	tau=7	20	7	1	-1	start
8.5	1	8	tau=8	20	8	1	-1	start
9.5	1	9	tau=9	20	9	1	-1	start
10.5	1	10	tau=10	20	10	1	-1	start
11.5	1	11	tau=11	20	11	1	-1	start
12.5	1	12	tau=12	20	12	1	-1	start
13.5	1	13	tau=13	20	13	1	-1	start
14.5	1	14	tau=14	20	14	1	-1	start
15.5	1	15	tau=15	20	15	1	-1	start
16.5	1	16	tau=16	20	16	1	-1	start
17.5	1	17	tau=17	20	17	1	-1	start
18.5	1	18	tau=18	20	18	1	-1	start
19.5	1	19	tau=19	20	19	1	-1	start
0.5	1	0	tau=0	21	0	1	-1	start
1.5	1	1	tau=1	21	1	1	-1	start
2.5	1	2	tau=2	21	2	1	-1	start
3.5	1	3	tau=3	21	3	1	-1	start
4.5	1	4	tau=4	21	4	1	-1	start
5.5	1	5	tau=5	21	5	1	-1	start
6.5	1	6	tau=6	21	6	1	-1	start
7.5	1	7	tau=7	21	7	1	-1	start
8.5	1	8	tau=8	21	8	1	-1	start
9.5	1	9	tau=9	21	9	1	-1	start
10.5	1	10	tau=10	21	10	1	-1	start
11.5	1	11	tau=11	21	11	1	-1	start
12.5	1	12	tau=12	21	12	1	-1	start
13.5	1	13	tau=13	21	13	1	-1	start
14.5	1	14	tau=14	21	14	1	-1	start
15.5	1	15	tau=15	21	15	1	-1	start
16.5	1	16	tau=16	21	16	1	-1	start
17.5	1	17	tau=17	21	17	1	-1	start
18.5	1	18	tau=18	21	18	1	-1	start
19.5	1	19	tau=19	21	19	1	-1	start
20.5	1	20	tau=20	21	20	1	-1	start
0.5	1	0	tau=0	22	0	1	-1	start
1.5	1	1	tau=1	22	1	1	-1	start
2.5	1	2	tau=2	22	2	1	-1	start
3.5	1	3	tau=3	22	3	1	-1	start
4.5	1	4	tau=4	22	4	1	-1	start
5.5	1	5	tau=5	22	5	1	-1	start
6.5	1	6	tau=6	22	6	1	-1	start
7.5	1	7	tau=7	22	7	1	-1	start
8.5	1	8	tau=8	22	8	1	-1	start
9.5	1	9	tau=9	22	9	1	-1	start
10.5	1	10	tau=10	22	10	1	-1	start
11.5	1	11	tau=11	22	11	1	-1	start
12.5	1	12	tau=12	22	12	1	-1	start
13.5	1	13	tau=13	22	13	1	-1	start
14.5	1	14	tau=14	22	14	1	-1	start
15.5	1	15	tau=15	22	15	1	-1	start
16.5	1	16	tau=16	22	16	1	-1	start
17.5	1	17	tau=17	22	17	1	-1	start
