xmin	xmax	key	clickSelects	showSelected1	PANEL	group
16	17	16	16	30	2	-1
17	18	17	17	30	2	-1
18	19	18	18	30	2	-1
19	20	19	19	30	2	-1
20	21	20	20	30	2	-1
21	22	21	21	30	2	-1
22	23	22	22	30	2	-1
23	24	23	23	30	2	-1
24	25	24	24	30	2	-1
25	26	25	25	30	2	-1
26	27	26	26	30	2	-1
27	28	27	27	30	2	-1
28	29	28	28	30	2	-1
29	30	29	29	30	2	-1
0	1	0	0	31	2	-1
1	2	1	1	31	2	-1
2	3	2	2	31	2	-1
3	4	3	3	31	2	-1
4	5	4	4	31	2	-1
5	6	5	5	31	2	-1
6	7	6	6	31	2	-1
7	8	7	7	31	2	-1
8	9	8	8	31	2	-1
9	10	9	9	31	2	-1
10	11	10	10	31	2	-1
11	12	11	11	31	2	-1
12	13	12	12	31	2	-1
13	14	13	13	31	2	-1
14	15	14	14	31	2	-1
15	16	15	15	31	2	-1
16	17	16	16	31	2	-1
17	18	17	17	31	2	-1
18	19	18	18	31	2	-1
19	20	19	19	31	2	-1
20	21	20	20	31	2	-1
21	22	21	21	31	2	-1
22	23	22	22	31	2	-1
23	24	23	23	31	2	-1
24	25	24	24	31	2	-1
25	26	25	25	31	2	-1
26	27	26	26	31	2	-1
27	28	27	27	31	2	-1
28	29	28	28	31	2	-1
29	30	29	29	31	2	-1
30	31	30	30	31	2	-1
0	1	0	0	32	2	-1
1	2	1	1	32	2	-1
2	3	2	2	32	2	-1
3	4	3	3	32	2	-1
4	5	4	4	32	2	-1
5	6	5	5	32	2	-1
6	7	6	6	32	2	-1
7	8	7	7	32	2	-1
8	9	8	8	32	2	-1
9	10	9	9	32	2	-1
10	11	10	10	32	2	-1
11	12	11	11	32	2	-1
12	13	12	12	32	2	-1
13	14	13	13	32	2	-1
14	15	14	14	32	2	-1
15	16	15	15	32	2	-1
16	17	16	16	32	2	-1
17	18	17	17	32	2	-1
18	19	18	18	32	2	-1
19	20	19	19	32	2	-1
20	21	20	20	32	2	-1
21	22	21	21	32	2	-1
22	23	22	22	32	2	-1
23	24	23	23	32	2	-1
24	25	24	24	32	2	-1
25	26	25	25	32	2	-1
26	27	26	26	32	2	-1
27	28	27	27	32	2	-1
28	29	28	28	32	2	-1
29	30	29	29	32	2	-1
30	31	30	30	32	2	-1
31	32	31	31	32	2	-1
0	1	0	0	33	2	-1
1	2	1	1	33	2	-1
2	3	2	2	33	2	-1
3	4	3	3	33	2	-1
4	5	4	4	33	2	-1
5	6	5	5	33	2	-1
6	7	6	6	33	2	-1
7	8	7	7	33	2	-1
8	9	8	8	33	2	-1
9	10	9	9	33	2	-1
10	11	10	10	33	2	-1
11	12	11	11	33	2	-1
12	13	12	12	33	2	-1
13	14	13	13	33	2	-1
14	15	14	14	33	2	-1
15	16	15	15	33	2	-1
16	17	16	16	33	2	-1
17	18	17	17	33	2	-1
18	19	18	18	33	2	-1
19	20	19	19	33	2	-1
20	21	20	20	33	2	-1
21	22	21	21	33	2	-1
22	23	22	22	33	2	-1
23	24	23	23	33	2	-1
24	25	24	24	33	2	-1
25	26	25	25	33	2	-1
26	27	26	26	33	2	-1
27	28	27	27	33	2	-1
28	29	28	28	33	2	-1
29	30	29	29	33	2	-1
30	31	30	30	33	2	-1
31	32	31	31	33	2	-1
32	33	32	32	33	2	-1
0	1	0	0	34	2	-1
1	2	1	1	34	2	-1
2	3	2	2	34	2	-1
3	4	3	3	34	2	-1
4	5	4	4	34	2	-1
5	6	5	5	34	2	-1
6	7	6	6	34	2	-1
7	8	7	7	34	2	-1
8	9	8	8	34	2	-1
9	10	9	9	34	2	-1
10	11	10	10	34	2	-1
11	12	11	11	34	2	-1
12	13	12	12	34	2	-1
13	14	13	13	34	2	-1
14	15	14	14	34	2	-1
15	16	15	15	34	2	-1
16	17	16	16	34	2	-1
17	18	17	17	34	2	-1
18	19	18	18	34	2	-1
19	20	19	19	34	2	-1
20	21	20	20	34	2	-1
21	22	21	21	34	2	-1
22	23	22	22	34	2	-1
23	24	23	23	34	2	-1
24	25	24	24	34	2	-1
25	26	25	25	34	2	-1
26	27	26	26	34	2	-1
27	28	27	27	34	2	-1
28	29	28	28	34	2	-1
29	30	29	29	34	2	-1
30	31	30	30	34	2	-1
31	32	31	31	34	2	-1
32	33	32	32	34	2	-1
33	34	33	33	34	2	-1
0	1	0	0	35	2	-1
1	2	1	1	35	2	-1
2	3	2	2	35	2	-1
3	4	3	3	35	2	-1
4	5	4	4	35	2	-1
5	6	5	5	35	2	-1
6	7	6	6	35	2	-1
7	8	7	7	35	2	-1
8	9	8	8	35	2	-1
9	10	9	9	35	2	-1
10	11	10	10	35	2	-1
11	12	11	11	35	2	-1
12	13	12	12	35	2	-1
13	14	13	13	35	2	-1
14	15	14	14	35	2	-1
15	16	15	15	35	2	-1
16	17	16	16	35	2	-1
17	18	17	17	35	2	-1
18	19	18	18	35	2	-1
19	20	19	19	35	2	-1
20	21	20	20	35	2	-1
21	22	21	21	35	2	-1
22	23	22	22	35	2	-1
23	24	23	23	35	2	-1
24	25	24	24	35	2	-1
25	26	25	25	35	2	-1
26	27	26	26	35	2	-1
27	28	27	27	35	2	-1
28	29	28	28	35	2	-1
29	30	29	29	35	2	-1
30	31	30	30	35	2	-1
31	32	31	31	35	2	-1
32	33	32	32	35	2	-1
33	34	33	33	35	2	-1
34	35	34	34	35	2	-1
0	1	0	0	36	2	-1
1	2	1	1	36	2	-1
2	3	2	2	36	2	-1
3	4	3	3	36	2	-1
4	5	4	4	36	2	-1
5	6	5	5	36	2	-1
6	7	6	6	36	2	-1
7	8	7	7	36	2	-1
8	9	8	8	36	2	-1
9	10	9	9	36	2	-1
10	11	10	10	36	2	-1
11	12	11	11	36	2	-1
12	13	12	12	36	2	-1
13	14	13	13	36	2	-1
14	15	14	14	36	2	-1
15	16	15	15	36	2	-1
16	17	16	16	36	2	-1
17	18	17	17	36	2	-1
18	19	18	18	36	2	-1
19	20	19	19	36	2	-1
20	21	20	20	36	2	-1
21	22	21	21	36	2	-1
22	23	22	22	36	2	-1
23	24	23	23	36	2	-1
24	25	24	24	36	2	-1
25	26	25	25	36	2	-1
26	27	26	26	36	2	-1
27	28	27	27	36	2	-1
28	29	28	28	36	2	-1
29	30	29	29	36	2	-1
30	31	30	30	36	2	-1
31	32	31	31	36	2	-1
32	33	32	32	36	2	-1
33	34	33	33	36	2	-1
34	35	34	34	36	2	-1
35	36	35	35	36	2	-1
0	1	0	0	37	2	-1
1	2	1	1	37	2	-1
2	3	2	2	37	2	-1
3	4	3	3	37	2	-1
4	5	4	4	37	2	-1
5	6	5	5	37	2	-1
6	7	6	6	37	2	-1
7	8	7	7	37	2	-1
8	9	8	8	37	2	-1
9	10	9	9	37	2	-1
10	11	10	10	37	2	-1
11	12	11	11	37	2	-1
12	13	12	12	37	2	-1
13	14	13	13	37	2	-1
14	15	14	14	37	2	-1
15	16	15	15	37	2	-1
16	17	16	16	37	2	-1
17	18	17	17	37	2	-1
18	19	18	18	37	2	-1
19	20	19	19	37	2	-1
20	21	20	20	37	2	-1
21	22	21	21	37	2	-1
22	23	22	22	37	2	-1
23	24	23	23	37	2	-1
24	25	24	24	37	2	-1
25	26	25	25	37	2	-1
26	27	26	26	37	2	-1
27	28	27	27	37	2	-1
28	29	28	28	37	2	-1
29	30	29	29	37	2	-1
30	31	30	30	37	2	-1
31	32	31	31	37	2	-1
32	33	32	32	37	2	-1
33	34	33	33	37	2	-1
34	35	34	34	37	2	-1
35	36	35	35	37	2	-1
36	37	36	36	37	2	-1
0	1	0	0	38	2	-1
1	2	1	1	38	2	-1
2	3	2	2	38	2	-1
3	4	3	3	38	2	-1
